nu1;nu2;exp_all;pv_all;exp;pv;kmin;ob
0.0;0.0;1.89377198377;0.0156;3.0107591905;0.9612;4.0;1
0.0;0.0;1.89156320582;0.0336;3.00817545352;0.9604;4.0;1
0.0;0.0;1.88348020279;0.0004;2.82108105521;0.8724;3.0;1
0.0;0.0;1.88857578182;0.256;2.73745170974;0.3628;3.0;1
0.0;0.0;1.88704209241;0.1884;3.26135732373;0.8784;5.0;1
0.0;0.0;1.89118524902;0.1036;3.44914914172;0.998;6.0;1
0.0;0.0;1.890222646;0.0008;2.78460323816;0.9044;3.0;1
0.0;0.0;1.88866857542;0.0316;2.78181641537;0.9124;3.0;1
0.0;0.0;1.88756977935;0.0148;2.78314234049;0.538;3.0;1
0.0;0.0;1.88008500147;0.0044;3.35705093475;0.5588;7.0;1
0.0;0.0;1.88895886758;0.084;3.25135088373;0.9388;5.0;1
0.0;0.0;1.88774857397;0.0156;2.83925988661;0.9236;3.0;1
0.0;0.0;1.88184182585;0.0036;3.21331632251;0.5284;4.0;1
0.0;0.0;1.88575198372;0.0768;2.48570003883;0.534;2.0;1
0.0;0.0;1.88376658942;0.0072;3.16438243083;0.8948;5.0;1
0.0;0.0;1.89328984667;0.0716;2.85710820746;0.19;3.0;1
0.0;0.0;1.8922585834;0.096;3.11445436134;0.988;5.0;1
0.0;0.0;1.890766873;0.014;2.80512756154;0.9296;3.0;1
0.0;0.0;1.88703946117;0.022;2.78083459137;0.73;3.0;1
0.0;0.0;1.88713489329;0.0532;2.77286554267;0.8476;3.0;1
0.0;0.0;1.88780633364;0.0336;2.87448376348;0.0444;3.0;1
0.0;0.0;1.88651334106;0.0032;2.81263859678;0.942;3.0;1
0.0;0.0;1.88113014349;0.0412;3.23010071034;0.9352;5.0;1
0.0;0.0;1.88688418192;0.0212;2.80832555498;0.2764;3.0;1
0.0;0.0;1.88674931448;0.0104;3.08801345848;0.762;4.0;1
0.0;0.0;1.88574747044;0.0092;2.9012315548;0.6524;3.0;1
0.0;0.0;1.89217550763;0.2072;3.03382608215;0.51;4.0;1
0.0;0.0;1.89086699134;0.3832;2.75308300284;0.2908;3.0;1
0.0;0.0;1.89075760821;0.1144;3.07395956712;0.542;4.0;1
0.0;0.0;1.88735603732;0.024;3.52880094396;0.9916;7.0;1
0.0;0.0;1.89046023044;0.1948;2.82486934894;0.094;3.0;1
0.0;0.0;1.88838802998;0.0244;3.05143623659;0.7964;4.0;1
0.0;0.0;1.88677535915;0.0156;3.0068040947;0.9348;4.0;1
0.0;0.0;1.88741679823;0.1264;3.07730607906;0.184;4.0;1
0.0;0.0;1.8881438943;0.1424;2.80312153488;0.3484;3.0;1
0.0;0.0;1.88700496282;0.016;2.78540427402;0.732;3.0;1
0.0;0.0;1.88090077093;0.014;3.14612313566;0.8216;4.0;1
0.0;0.0;1.886773895;0.0116;3.08441219824;0.9328;4.0;1
0.0;0.0;1.88432167836;0.0016;2.86702423619;0.3732;3.0;1
0.0;0.0;1.88918692934;0.0996;2.73916799873;0.3828;3.0;1
0.0;0.0;1.8853415959;0.004;2.80092267452;0.92;3.0;1
0.0;0.0;1.88990574794;0.0284;3.00984676188;0.8436;4.0;1
0.0;0.0;1.88650823809;0.1732;2.77243433328;0.4176;3.0;1
0.0;0.0;1.88518992191;0.0124;3.39331106275;0.9144;6.0;1
0.0;0.0;1.88727598183;0.044;3.34182030658;0.5976;5.0;1
0.0;0.0;1.8955027319;0.0976;2.76435285759;0.2308;3.0;1
0.0;0.0;1.88678447795;0.0432;2.77129069205;0.7152;3.0;1
0.0;0.0;1.8871973196;0.0112;3.17375783981;0.9956;5.0;1
0.0;0.0;1.88814029284;0.0048;2.86478191236;0.5568;3.0;1
0.0;0.0;1.88631888096;0.0048;2.79657529325;0.2336;3.0;1
0.0;0.0;1.89506131487;0.032;3.13254861017;0.9552;5.0;1
0.0;0.0;1.88502766248;0.0436;3.19649397778;0.772;4.0;1
0.0;0.0;1.88996419677;0.0212;3.002074247;0.7548;4.0;1
0.0;0.0;1.87920154564;0.0148;3.16901025704;0.8652;4.0;1
0.0;0.0;1.8859264389;0.0104;3.18776148617;0.8464;4.0;1
0.0;0.0;1.88300770475;0.0024;2.8567770598;0.7004;3.0;1
0.0;0.0;1.88429372453;0.0116;3.10715824638;0.6016;4.0;1
0.0;0.0;1.88949250039;0.074;2.47328085738;0.3188;2.0;1
0.0;0.0;1.8847122029;0.13;2.77231658195;0.2568;3.0;1
0.0;0.0;1.88599092856;0.0072;3.02651842055;0.568;4.0;1
0.0;0.0;1.88509741569;0.062;3.27561272093;0.956;5.0;1
0.0;0.0;1.88849461654;0.0012;2.51700145846;0.4596;2.0;1
0.0;0.0;1.88655518121;0.0028;2.80576484191;0.8568;3.0;1
0.0;0.0;1.89767974255;0.0392;3.21223573754;0.876;7.0;1
0.0;0.0;1.88461170194;0.0604;2.78307235225;0.5424;3.0;1
0.0;0.0;1.89044812309;0.126;2.96191313957;0.6996;4.0;1
0.0;0.0;1.88884024291;0.0408;2.75400781558;0.7696;3.0;1
0.0;0.0;1.8890017884;0.2124;3.00481048062;0.836;4.0;1
0.0;0.0;1.89137073329;0.0184;2.78887477019;0.7876;3.0;1
0.0;0.0;1.88812556108;0.052;3.02201193464;0.2548;4.0;1
0.0;0.0;1.88824342457;0.0052;2.85733308207;0.9332;3.0;1
0.0;0.0;1.89212919319;0.0404;3.29622467299;0.776;6.0;1
0.0;0.0;1.88873378206;0.046;3.19692825728;0.9588;5.0;1
0.0;0.0;1.89002810515;0.2944;3.49730575249;0.652;6.0;1
0.0;0.0;1.89017580818;0.234;3.27114702932;0.7364;5.0;1
0.0;0.0;1.88325314308;0.0;2.88133369176;0.8428;3.0;1
0.0;0.0;1.88842927146;0.0204;2.7582212521;0.3592;3.0;1
0.0;0.0;1.88651275853;0.0616;3.5654472564;0.7928;7.0;1
0.0;0.0;1.8896331945;0.0316;2.83493161479;0.6668;3.0;1
0.0;0.0;1.88872142371;0.0876;2.98393646753;0.8108;4.0;1
0.0;0.0;1.89156012849;0.076;2.93285021665;0.7784;4.0;1
