f_exp_all,f_pv_all,f_exp,f_pv,f_kmin,00_exp_all,00_pv_all,00_exp,00_pv,00_kmin,02_exp_all,02_pv_all,02_exp,02_pv,02_kmin,04_exp_all,04_pv_all,04_exp,04_pv,04_kmin,06_exp_all,06_pv_all,06_exp,06_pv,06_kmin,08_exp_all,08_pv_all,08_exp,08_pv,08_kmin,10_exp_all,10_pv_all,10_exp,10_pv,10_kmin
1.7456091462,0.3124,2.4559274613,0.9856,4,1.8852028245,0.05,3.7211231931,0.5732,7,1.8398912973,0.0004,2.7507903389,0.7812,3,1.8194598829,0.116,2.7119344806,0.8924,4,1.7953823547,0.1112,2.503356465,0.7844,3,1.7709129803,0.0104,2.6927869543,0.8588,5,1.752262772,0.074,2.5971382979,0.7012,5
1.7541368865,0.6492,2.5261875452,0.5792,4,1.8859548637,0.0236,3.003527936,0.8592,4,1.8544252181,0.4516,2.9568576761,0.7268,5,1.8150119135,0.0028,2.7189787003,0.9164,4,1.7980528764,0.0484,2.5404654108,0.2568,3,1.7665252239,0.1164,2.450544324,0.8464,3,1.7528378943,0.0796,2.3895284208,0.6548,3
1.7574159191,0.4968,2.3512508654,0.8924,3,1.8806049568,0.0016,3.1304293402,0.9912,4,1.8536625336,0.3116,2.5925185961,0.5332,3,1.8155301506,0.0096,2.8027496639,0.958,4,1.7984226849,0.0888,2.6628597133,0.9692,4,1.7708233363,0.4764,2.3440151102,0.2368,3,1.7495012983,0.0064,2.4235121233,0.7748,3
1.7644585602,0.24,2.4909841825,0.8904,4,1.888670596,0.2012,3.122643623,0.4476,4,1.8431032617,0.0068,2.8925572449,0.9976,4,1.8132271032,0.0668,2.5671487546,0.9548,3,1.7863306241,0.03,2.5104675943,0.9636,3,1.7658385256,0.0392,2.43197518,0.5328,3,1.7602555254,0.2268,2.3218584502,0.6784,3
1.7156377661,0.0292,2.7719112935,0.9996,5,1.884072945,0.0216,3.1096555711,0.4536,4,1.848259245,0.0096,2.6566458237,0.8688,3,1.8168263951,0.0044,2.6402304043,0.9188,3,1.7981124607,0.1384,2.6719162468,0.6276,4,1.775844494,0.382,2.5194851677,0.2724,4,1.7481383763,0.0944,2.6452257603,0.45,6
1.7686490591,0.4284,2.4121417547,0.68,3,1.8862845102,0.0168,2.7979606097,0.2128,3,1.8567842453,0.1284,2.7398195219,0.7964,4,1.8170392475,0.2296,2.8684378909,0.7192,5,1.7969385129,0.0556,2.6456472068,0.9108,4,1.7674550928,0.0016,2.7763225526,0.9364,5,1.7504841792,0.1108,2.3637479805,0.5476,3
1.7576313138,0.036,2.6407472339,0.8356,4,1.8846298409,0.0092,2.8683815492,0.782,3,1.8553437306,0.0024,2.685446111,0.8376,3,1.817938322,0.0144,2.7526376622,0.9756,4,1.7998245425,0.2364,2.6006463895,0.7184,4,1.774056922,0.054,2.5302116857,0.6688,4,1.7529648989,0.0104,2.3734159779,0.1852,3
1.7667501939,0.37,2.1734927724,0.5368,2,1.8928572268,0.05,3.0270638434,0.2384,4,1.8526587635,0.1204,2.6241764546,0.6228,3,1.8252271545,0.0284,2.5485195359,0.8316,3,1.7958727865,0.1844,2.8281949132,0.9444,6,1.7718218266,0.0576,2.667426919,0.3496,5,1.7522919072,0.1204,2.6610792012,0.996,6
1.7581892203,0.3844,2.6332136984,0.6572,5,1.8847560492,0.006,2.8560167919,0.7256,3,1.846410805,0.0008,2.7404967784,0.9596,3,1.8265775825,0.1016,2.7750647654,0.728,4,1.7873528186,0.0112,2.6516694663,0.9716,4,1.777753952,0.0064,2.5448126748,0.6356,4,1.7561058392,0.188,2.3429750574,0.3572,3
1.7704200698,0.56,2.7757208987,0.744,6,1.8890339732,0.0024,2.8163925943,0.95,3,1.8521299426,0.006,2.8275060459,0.9772,4,1.8190007203,0.1684,2.8684151077,0.9064,6,1.7955233123,0.6848,2.4308484754,0.5564,3,1.771822684,0.0648,2.7608589754,0.9856,5,1.7595547409,0.0816,2.3566437804,0.8776,3
