alpha_all;p_value_all;alpha;p_value;xmin
1.84792138643;0.0876;2.71443468817;0.6656;3.0
1.84705261117;0.0288;3.14919565998;0.6424;5.0
1.84430535866;0.0288;3.4227056423;0.9384;8.0
1.84969625174;0.0172;2.66329103744;0.5292;3.0
1.84904853108;0.0612;2.96743142311;0.9936;5.0
1.85561791909;0.052;3.15673806542;0.9732;6.0
1.84382117761;0.0116;2.67800305307;0.4728;3.0
1.8411358164;0.006;2.7172612656;0.1688;3.0
1.84753164834;0.0476;2.92279785326;0.7544;4.0
1.84963951342;0.0208;2.9071455217;0.882;4.0
1.84781102676;0.0716;2.66808909509;0.6768;3.0
1.84865222045;0.0888;3.00383173608;0.892;5.0
1.84925609301;0.276;2.95938533604;0.2132;5.0
1.84720026234;0.0044;2.65299810262;0.3548;3.0
1.84444222559;0.0212;2.87161419969;0.6424;4.0
1.84874972878;0.0248;2.99698474088;0.9824;5.0
1.84363777012;0.1328;2.91537576163;0.4728;4.0
1.84143045315;0.1056;3.145122999;0.9828;6.0
1.85906394704;0.3064;2.8184236099;0.826;4.0
1.84218476859;0.0056;3.18156240243;0.998;5.0
1.85039065065;0.1988;2.67074989807;0.4148;3.0
1.85441317492;0.1328;2.8458404693;0.9648;4.0
1.84609671012;0.0204;2.83451605106;0.942;4.0
1.84861598839;0.0104;2.88567358956;0.9496;4.0
1.85617877687;0.0268;2.76185252745;0.848;4.0
1.85961159069;0.1976;3.0018184846;0.9676;5.0
1.84895237113;0.1572;3.03598285912;0.9404;5.0
1.84617797797;0.016;2.93614499272;0.9008;4.0
1.84418759629;0.002;2.7178962061;0.0396;3.0
1.84734707999;0.0108;2.85582212084;0.5588;4.0
1.84860523866;0.014;2.41118812472;0.3756;2.0
1.84770986958;0.0472;2.89633396866;0.9428;4.0
1.84602636748;0.0456;2.68456937393;0.3108;3.0
1.84882811671;0.0056;2.94612241146;0.5472;4.0
1.84953250583;0.2048;3.03410100502;0.704;5.0
1.84066230058;0.0;2.73442145771;0.2104;3.0
1.8447698667;0.0512;2.81646036905;0.9968;4.0
1.85256647315;0.1476;2.97956656901;0.9572;5.0
1.85551252649;0.5128;3.16303842441;0.9704;6.0
1.84826275716;0.0032;2.6942091029;0.6808;3.0
1.84659306908;0.0156;2.89365017394;0.8908;4.0
1.85103250385;0.0168;2.86320666615;0.9624;4.0
1.85377515816;0.038;2.64836304441;0.3632;3.0
1.8466174719;0.1928;2.6691241525;0.554;3.0
1.85075327495;0.404;3.12757060305;0.7728;6.0
1.84991574166;0.1052;3.00163250191;0.9164;5.0
1.84767143601;0.0216;3.03633396848;0.8376;5.0
1.84574476532;0.0056;2.85694338008;0.8992;4.0
1.85298945928;0.2692;3.00666319883;0.8728;5.0
1.84806116352;0.094;2.86391950145;0.6884;4.0
1.85258255676;0.1756;2.62380034189;0.5336;3.0
1.84648428233;0.018;2.68407126954;0.4452;3.0
1.85300059873;0.0512;2.62957486218;0.8612;3.0
1.84452292333;0.214;3.08246307111;0.22;5.0
1.84893374829;0.0048;2.7082658513;0.918;3.0
1.85097931568;0.0928;2.69877180624;0.1172;3.0
1.84697753197;0.0608;3.04310953466;0.9364;5.0
1.84989688874;0.0268;2.71782367018;0.2556;3.0
1.84253736884;0.0204;3.12873841719;0.3328;5.0
1.84830070606;0.0216;2.60652597004;0.536;3.0
1.85024471536;0.1592;3.05283659873;0.8304;5.0
1.84816481128;0.2904;2.586160242;0.3556;3.0
1.84914685172;0.282;3.04408182574;0.7684;5.0
1.84411823371;0.03;2.88482225006;0.5964;4.0
1.84925678467;0.1824;2.71021611874;0.6156;3.0
1.84819514772;0.0104;2.9293423992;0.6476;4.0
1.85811841306;0.054;2.80354065595;0.994;4.0
1.85428425655;0.166;2.82628447677;0.8028;4.0
1.83788197997;0.12;2.66249802837;0.432;3.0
1.84455670546;0.0184;3.18365542277;0.9984;6.0
1.84356323943;0.0052;2.91899311006;0.9664;4.0
1.85103887421;0.0912;3.0680775834;0.8236;5.0
1.84708566988;0.002;2.91405604616;0.7264;4.0
1.85102952581;0.0896;2.92516150055;0.4732;4.0
1.84810979408;0.0988;2.85204802473;0.982;4.0
1.84570038257;0.0248;2.91061578687;0.7448;4.0
1.84844948607;0.0244;2.93152418829;0.9936;4.0
1.84860270268;0.138;2.63904475852;0.4584;3.0
1.84339212383;0.0024;2.8936095516;0.8012;4.0
1.85157546155;0.018;3.01473964219;0.86;5.0
1.84033114768;0.0716;2.92384012188;0.5048;4.0
1.83925343924;0.0228;2.6855323609;0.6148;3.0
1.8520755049;0.078;2.66193518226;0.5548;3.0
1.84924906686;0.0936;2.39495631423;0.4076;2.0
1.85330992936;0.2596;3.03125858329;0.8424;5.0
1.85010503287;0.0084;2.7587931377;0.7532;3.0
1.85444355461;0.0344;3.19228266357;0.1336;5.0
1.84763141305;0.1152;3.08351538654;0.8144;5.0
1.84935934022;0.2128;2.64492309698;0.3164;3.0
1.85002572904;0.062;2.67600986934;0.3892;3.0
1.84953376993;0.0388;3.07124538803;0.9492;6.0
1.84492359686;0.1076;2.71329136291;0.202;3.0
1.84624791601;0.0028;2.87773070956;0.6496;4.0
1.84899146775;0.0092;2.65623100395;0.406;3.0
1.84645173529;0.034;2.69465088151;0.4328;3.0
1.84758829544;0.0936;3.21084640364;0.7032;7.0
1.84678102319;0.0176;2.86609090256;0.8944;4.0
1.84740966206;0.0204;2.83954717759;0.858;4.0
1.85105319842;0.2516;3.1076085685;0.6076;5.0
1.84682300779;0.1312;2.6287111188;0.6208;3.0
