nu1_all;p_value_all;nu1;p_value;xmin
1.70655013489;0.0032;3.03399716343;0.9796;8.0
1.706152624;0.0;3.04312782791;0.4492;8.0
1.70751328706;0.0;2.52300241889;0.9452;4.0
1.7038029132;0.0004;2.5827596911;0.4244;5.0
1.70724427705;0.0;2.75738990794;0.9548;5.0
1.70324593729;0.0004;2.85884268118;0.8692;7.0
1.70242230704;0.0;2.73185659817;0.7836;5.0
1.70748302316;0.0;2.66244993205;0.8648;5.0
1.71031697966;0.0004;2.36783767912;0.238;3.0
1.70242995766;0.0004;2.78480384544;0.7184;7.0
1.7105138902;0.0012;2.55953973293;0.648;4.0
1.70252155898;0.0;3.00199143449;0.8636;8.0
1.71151796202;0.0028;2.85364539321;0.8092;7.0
1.70554684737;0.002;2.96533576305;0.6224;8.0
1.70908119948;0.002;2.54424028872;0.3012;4.0
1.70285948022;0.0;2.79953719934;0.6348;6.0
1.70640554271;0.0024;2.51629496563;0.5956;4.0
1.70647986556;0.0012;2.539131535;0.5908;4.0
1.70293390207;0.0;2.35125768657;0.1184;3.0
1.69858525324;0.0004;2.75037303433;0.7824;6.0
1.69849584613;0.0;2.85702259717;0.936;6.0
1.70974971191;0.0;2.59560279575;0.9208;5.0
1.70167331833;0.0;2.85937085536;0.6232;6.0
1.70707311206;0.0;2.82629205979;0.6292;7.0
1.70865213082;0.0;2.48213730729;0.8596;4.0
1.70821503407;0.0;2.58171092492;0.998;4.0
1.70643554222;0.0008;2.80323635841;0.326;7.0
1.70827490338;0.0;2.82364175169;0.9816;7.0
1.7022530929;0.0;2.59270461304;0.8404;4.0
1.70480712967;0.0;2.82783574601;0.9024;6.0
1.70311462359;0.0;2.74064240403;0.9272;6.0
1.70302214546;0.0;2.83425746382;0.5464;6.0
1.69580415686;0.0;2.7615331386;0.1992;5.0
1.70273161573;0.0;3.10604709541;0.5696;11.0
1.70916324523;0.0232;2.45498481026;0.34;4.0
1.71059201268;0.018;2.60473097513;0.0804;5.0
1.70632451185;0.0012;2.90302627139;0.3248;10.0
1.70734056862;0.0;2.56389200729;0.8356;4.0
1.70214269909;0.0;2.58441552716;0.8504;4.0
1.7108094712;0.0064;2.88550987271;0.9768;8.0
1.70369028976;0.0004;2.54649800724;0.5172;4.0
1.70501520423;0.0004;3.10013362711;0.3656;9.0
1.7021149081;0.0004;2.97965323888;0.9472;9.0
1.70641115136;0.0;2.42643807662;0.5332;3.0
1.70499361233;0.0;2.78027917038;0.8992;7.0
1.70706043806;0.0036;2.52443265391;0.4792;4.0
1.70297334919;0.0012;2.66294593669;0.3012;5.0
1.70654295586;0.0004;2.48683232857;0.136;4.0
1.70801235243;0.0416;2.34285263273;0.1384;3.0
1.70300753004;0.0;2.75386599337;0.9204;6.0
1.70425175783;0.0004;2.55991190465;0.8328;4.0
1.70577512802;0.0;2.65824895856;0.9572;5.0
1.70355370059;0.0;2.70882235572;0.1432;5.0
1.70771311171;0.0;2.80893468914;0.6704;7.0
1.71087843147;0.0172;3.06311725053;0.3144;10.0
1.70829696217;0.0;2.6468932382;0.7696;5.0
1.70745130456;0.0;2.8232051326;0.8724;6.0
1.71045244425;0.0028;2.51300245628;0.7452;4.0
1.70500688522;0.0024;2.6284386293;0.2368;5.0
1.70999572951;0.0012;2.54434060883;0.4168;4.0
1.70937054125;0.0;2.53548680525;0.9256;4.0
1.70565138457;0.0;2.86295334444;0.7356;7.0
1.70519376854;0.0;2.80252969391;0.8796;6.0
1.70702209648;0.0;3.01106649472;0.5168;8.0
1.70821196323;0.0028;2.60967477825;0.7464;5.0
1.70746920778;0.0;2.39611689412;0.3144;3.0
1.712662896;0.0008;2.52714318468;0.8092;4.0
1.69929362464;0.0;2.59345821673;0.1192;4.0
1.70686091297;0.0016;2.75014811294;0.504;6.0
1.71143313303;0.0016;2.72155822651;0.598;6.0
1.7048076747;0.0;2.78961081219;0.8204;6.0
1.70467850561;0.0;3.11777638994;0.734;9.0
1.70461760075;0.0004;2.37985074529;0.2244;3.0
1.70063826978;0.0;2.39443723126;0.3916;3.0
1.70697360807;0.0056;2.55928179032;0.2832;4.0
1.71055155378;0.002;2.79342321005;0.442;7.0
1.70478036801;0.0;2.51545443316;0.6588;4.0
1.70315586679;0.0;2.58861392583;0.8168;4.0
1.70331897425;0.0;2.8440595253;0.728;7.0
1.70555804103;0.0;2.60907428213;0.7616;5.0
1.70541387339;0.0;2.56713980151;0.9448;4.0
1.70680312624;0.0;2.87195575044;0.9612;7.0
1.7027271728;0.0;2.41047788792;0.1564;3.0
1.70512037097;0.0016;2.90896602867;0.3164;8.0
1.70091527965;0.0;2.99045394387;0.812;9.0
1.70623229878;0.006;2.86321868606;0.2312;7.0
1.70016191895;0.0;2.60279044773;0.7288;4.0
1.70412825274;0.0;2.3897138574;0.3108;3.0
1.70814036378;0.0028;2.36758971177;0.5664;3.0
1.70711669852;0.0;2.84852546349;0.6748;7.0
1.70509554437;0.0016;2.60147776267;0.46;5.0
1.70833792718;0.0;2.78673359397;0.4356;6.0
1.70616975074;0.0008;2.37057181221;0.4976;3.0
1.702116683;0.0;2.56036247966;0.7128;4.0
1.70884641546;0.0;2.65969060241;0.7108;5.0
1.70797737615;0.0;2.83715259448;0.8292;7.0
1.70247361513;0.0;2.92114669199;0.426;8.0
1.70678056475;0.0;2.69843997402;0.7936;5.0
1.70078324632;0.0012;2.36681295659;0.0684;3.0
1.71352073089;0.002;2.74546630868;0.8236;7.0
