onb,nu1,nu2,exp_all,pv_all,exp,pv,kmin
TRUE,0,0,1.8852028245,0.05,3.7211231931,0.5732,7
TRUE,0,0,1.8859548637,0.0236,3.003527936,0.8592,4
TRUE,0,0,1.8806049568,0.0016,3.1304293402,0.9912,4
TRUE,0,0,1.888670596,0.2012,3.122643623,0.4476,4
TRUE,0,0,1.884072945,0.0216,3.1096555711,0.4536,4
TRUE,0,0,1.8862845102,0.0168,2.7979606097,0.2128,3
TRUE,0,0,1.8846298409,0.0092,2.8683815492,0.782,3
TRUE,0,0,1.8928572268,0.05,3.0270638434,0.2384,4
TRUE,0,0,1.8847560492,0.006,2.8560167919,0.7256,3
TRUE,0,0,1.8890339732,0.0024,2.8163925943,0.95,3
TRUE,0,0,1.8860574926,0.0376,2.7981549705,0.682,3
TRUE,0,0,1.8924006001,0.0048,2.8263352453,0.8964,3
TRUE,0,0,1.8849228409,0.0076,3.2235341578,1,5
TRUE,0,0,1.88781013,0.0172,2.4941797459,0.6104,2
TRUE,0,0,1.8903226409,0.0856,3.1000870881,0.8548,4
TRUE,0,0,1.8839863085,0.0004,3.7312369359,0.8312,9
TRUE,0,0,1.8846606708,0.0016,2.9071945719,0.6932,3
TRUE,0,0,1.8870472204,0.0236,2.7617125332,0.624,3
TRUE,0,0,1.8889130831,0.0144,2.9939581626,0.878,4
TRUE,0,0,1.8860096501,0.0072,2.8514961928,0.9356,3
TRUE,0,0,1.8916937077,0.044,3.1512589135,0.7952,5
TRUE,0,0,1.8844704594,0.0244,3.2313104742,0.9628,5
TRUE,0,0,1.8857020596,0.018,2.7761665067,0.7992,3
TRUE,0,0,1.8850971925,0.074,3.3732173051,0.5996,5
TRUE,0,0,1.8922378677,0.5568,3.2436403652,0.9068,5
TRUE,0,0,1.8870439559,0.008,3.0431822726,0.994,4
TRUE,0,0,1.8902495978,0.0328,2.7895615608,0.284,3
TRUE,0,0,1.8926682471,0.0596,2.7520075963,0.916,3
TRUE,0,0,1.8933481766,0.2508,2.7377687588,0.5488,3
TRUE,0,0,1.8861385122,0.1,2.9858413469,0.1904,4
TRUE,0,0,1.8846810924,0.084,3.0920558533,0.5464,4
TRUE,0,0,1.887116317,0.0084,2.872514503,0.7572,3
TRUE,0,0,1.8846730785,0.0768,3.3238554503,0.7164,5
TRUE,0,0,1.8904604248,0.046,3.3978622026,0.8664,6
TRUE,0,0,1.89040114,0.0868,3.8511112428,0.7804,10
TRUE,0,0,1.8850542415,0.0736,2.8531308795,0.6992,3
TRUE,0,0,1.8908035541,0.0056,2.7989062218,0.6428,3
TRUE,0,0,1.8905410836,0.0956,3.0834620241,0.404,4
TRUE,0,0,1.8795361485,0.0016,2.9010632435,0.8352,3
TRUE,0,0,1.8873094559,0.0156,3.07326565,0.906,4
TRUE,0,0,1.8862376515,0.0012,2.8617303234,0.7216,3
TRUE,0,0,1.8903091391,0.0124,3.3345910358,0.356,5
TRUE,0,0,1.8974385461,0.04,3.0782358634,0.2388,4
TRUE,0,0,1.8876975703,0.1164,2.7522515501,0.7216,3
TRUE,0,0,1.8903752777,0.0164,3.0631891621,0.3744,4
TRUE,0,0,1.8842275929,0.092,3.3143607908,0.9792,5
TRUE,0,0,1.8939064138,0.1164,2.9857722489,0.6904,4
TRUE,0,0,1.8894012693,0.0504,3.2260679644,0.9824,6
TRUE,0,0,1.8853229709,0.0108,3.0440554615,0.7076,4
TRUE,0,0,1.8864933382,0.0132,2.8809146596,0.352,3
TRUE,0,0,1.8987725345,0.1288,2.9855467832,0.7936,4
TRUE,0,0,1.8870884831,0.008,2.8374622399,0.9128,3
TRUE,0,0,1.8797015572,0.0024,3.1501632406,0.7452,4
TRUE,0,0,1.8781361647,0.004,2.8917012819,0.626,3
TRUE,0,0,1.8970029708,0.114,2.7039265328,0.6628,3
TRUE,0,0,1.8964354461,0.1,2.7009555924,0.68,3
TRUE,0,0,1.8824314956,0.0116,3.1148394389,0.9916,4
TRUE,0,0,1.887356737,0.002,2.8246853365,0.502,3
TRUE,0,0,1.8878246074,0.026,2.455999286,0.0968,2
TRUE,0,0,1.8893598018,0.044,2.7691346261,0.23,3
TRUE,0,0,1.8921138378,0.1032,2.947148299,0.9812,4
TRUE,0,0,1.8910064915,0.0924,2.7479703378,0.5016,3
TRUE,0,0,1.8869302311,0.1432,3.5152672097,0.9672,6
TRUE,0,0,1.8826921215,0.014,2.835612868,0.5956,3
TRUE,0,0,1.8900166383,0.0088,2.5067937956,0.2452,2
TRUE,0,0,1.8962928603,0.2832,3.1321908956,0.9484,5
