alpha_constrained;sigma_constrained;p_value_constrained;alpha;sigma;p_value;x_min
3.014222262;0.045016876;0.05;3.014222262;0.045016876;0.01;2
3.02760597;0.045315995;0;3.342824553;0.08166573;0;3
3.042554498;0.045650088;0;3.239395959;0.07957347;0;3
3.028073774;0.045326451;0;3.347226741;0.116778895;1;4
3.015539333;0.045046312;0;3.015539333;0.045046312;0;2
3.027298182;0.045309117;0;3.237409835;0.079054989;0;3
3.022196733;0.045195102;0;3.566141659;0.16811353;1;5
2.986243087;0.044391555;0;3.515143686;0.124214093;1;4
3.040941124;0.04561403;0.05;3.040941124;0.04561403;0.02;2
3.04484682;0.04570132;0;3.524378108;0.168667107;1;5
3.022075988;0.045192403;0.04;3.022075988;0.045192403;0.01;2
3.034633473;0.045473057;0;3.369521977;0.11922359;1;4
3.020842865;0.045164843;0;3.409838443;0.083097877;0;3
3.026978356;0.045301969;0;3.218031745;0.078566715;0;3
3.030801517;0.045387414;0.05;3.030801517;0.045387414;0.02;2
3.018971656;0.045123023;0.01;3.018971656;0.045123023;0;2
3.024857084;0.045254559;0;3.393865923;0.118952154;1;4
3.032021297;0.045414676;0;3.032021297;0.045414676;0;2
3.052910728;0.045881544;0;3.279133958;0.080883438;0;3
3.009380577;0.044908667;0;3.495316798;0.121758992;1;4
3.015460544;0.045044551;0;3.015460544;0.045044551;0;2
3.026279677;0.045286353;0;3.267209355;0.079760147;0;3
3.005876962;0.044830363;0;3.587929234;0.123939332;1;4
3.044706348;0.045698181;0;3.327379246;0.081826297;0;3
3.036382722;0.045512152;0;3.2925197;0.080700516;0;3
2.999006419;0.04467681;0;3.45730659;0.120479368;1;4
3.063077341;0.046108763;0.23;3.063077341;0.046108763;0.16;2
3.012780063;0.044984644;0;3.012780063;0.044984644;0;2
3.039528528;0.045582459;0.02;3.039528528;0.045582459;0;2
3.029625351;0.045361128;0;3.248916113;0.079411989;0;3
3.011538177;0.044956888;0;3.739865811;0.222232463;1;6
3.023131202;0.045215987;0;3.52351757;0.164967504;1;5
3.023014164;0.045213371;0;3.238966099;0.078962246;0;3
3.024551282;0.045247725;0;3.385177738;0.117939449;1;4
3.031052636;0.045393027;0;3.418762457;0.118732379;1;4
3.016945887;0.045077748;0;3.253760281;0.079140227;0;3
3.00909441;0.044902271;0;3.474521403;0.122507064;1;4
3.025568803;0.045270466;0;3.302942891;0.080619127;0;3
3.016683217;0.045071877;0;3.323515216;0.080845434;0;3
3.021987104;0.045190417;0;3.021987104;0.045190417;0;2
3.045760705;0.045721745;0;3.385192814;0.119110845;1;4
3.01725451;0.045084645;0;3.254710276;0.079173586;0;3
3.037832374;0.045544551;0;3.268125779;0.080140284;0;3
3.033429442;0.045446147;0;3.42017563;0.121926687;1;4
3.050993226;0.045838689;0;3.429018427;0.121755692;1;4
3.009426438;0.044909692;0;3.301404093;0.08007609;0;3
3.03119445;0.045396196;0;3.23008575;0.07899369;0;3
3.028995685;0.045347055;0;3.223687587;0.078767056;0;3
3.009879724;0.044919823;0;3.009879724;0.044919823;0;2
3.032658519;0.045428917;0.05;3.032658519;0.045428917;0;2
3.01126438;0.044950769;0;3.614052699;0.170521996;1;5
3.042570799;0.045650452;0;3.24412506;0.079691217;0;3
3.006232634;0.044838312;0;3.301109602;0.079969087;0;3
3.008957448;0.04489921;0;3.008957448;0.04489921;0;2
3.018362359;0.045109405;0;3.248631864;0.079057686;0;3
3.042829995;0.045656245;0.16;3.521120219;0.161729937;1;5
3.017979508;0.045100849;0;3.313339318;0.080637939;0;3
3.007484469;0.04486629;0;3.60020299;0.125247371;1;4
3.008046587;0.044878853;0;3.956474233;0.29713684;1;7
3.014619945;0.045025764;0;3.284207294;0.079816662;0;3
3.027095463;0.045304586;0;3.494617902;0.163427853;1;5
3.049781395;0.045811605;0.02;3.049781395;0.045811605;0;2
3.037637305;0.045540191;0;3.330062743;0.081668657;0;3
3.036406204;0.045512676;0.01;3.207742287;0.078597707;0;3
3.048355842;0.045779745;0;3.280130739;0.080766375;0;3
3.029555768;0.045359572;0;3.248708179;0.079404646;0;3
3.017683465;0.045094232;0.01;3.209875122;0.078082098;0;3
3.028989002;0.045346906;0;3.028989002;0.045346906;0;2
3.027043768;0.045303431;0;3.274113274;0.079953565;0;3
3.002117246;0.044746335;0;3.422144357;0.119185932;1;4
3.026364045;0.045288239;0.01;3.216298347;0.078505315;0;3
