p_value,run,p_value_constrained,type,nu2,sigma_constrained,nu1,alpha_constrained,x_min,alpha,sigma
0.5424,0,0.0008,control,0.0,0.0586004640277,0.0,2.52361206472,3.0,2.73742443162,0.0924737717289
0.3148,1,0.3716,control,0.0,0.0592939581025,0.0,2.52328936467,2.0,2.52328936467,0.0592939581025
0.2392,2,0.0836,control,0.0,0.0584562574675,0.0,2.4834535112,3.0,2.59885424884,0.0880140296847
0.8528,3,0.0004,control,0.0,0.0595401011576,0.0,2.56512342622,3.0,2.80396885863,0.095610158287
0.1144,4,0.1664,control,0.0,0.0576702238559,0.0,2.50053445317,2.0,2.50053445317,0.0576702238559
0.4152,5,0.0156,control,0.0,0.0578746578181,0.0,2.47892117419,3.0,2.63297863681,0.0884307510817
0.0556,6,0.0092,control,0.0,0.0577062615833,0.0,2.49257443591,3.0,2.65466274073,0.0886992332634
0.0216,7,0.0448,control,0.0,0.0606797000737,0.0,2.56948252449,2.0,2.56948252449,0.0606797000737
0.242,8,0.294,control,0.0,0.0595284609387,0.0,2.52931385161,2.0,2.52931385161,0.0595284609387
0.3564,9,0.048,control,0.0,0.0576815028909,0.0,2.47285626108,5.0,2.80687616822,0.150052898426
0.844,10,0.0104,control,0.0,0.0585420681358,0.0,2.54333591626,4.0,2.80327908092,0.124735422266
0.1328,11,0.0172,control,0.0,0.0581527540547,0.0,2.49170599152,3.0,2.6368001216,0.0887679499341
0.7304,12,0.7452,control,0.0,0.0617556818995,0.0,2.57567779851,2.0,2.57567779851,0.0617556818995
0.8384,13,0.0032,control,0.0,0.0577754834997,0.0,2.48090184223,4.0,2.8112291338,0.124103375339
0.1008,14,0.136,control,0.0,0.0582739218505,0.0,2.49026369444,2.0,2.49026369444,0.0582739218505
0.6772,15,0.0992,control,0.0,0.0596823489554,0.0,2.56431523923,3.0,2.68232783493,0.0915065707888
0.6772,16,0.6892,control,0.0,0.0602078375969,0.0,2.56887346137,2.0,2.56887346137,0.0602078375969
0.5024,17,0.0132,control,0.0,0.0597739837331,0.0,2.516893655,3.0,2.68159513648,0.0924288278986
0.532,18,0.0104,control,0.0,0.0580878670486,0.0,2.4820945969,3.0,2.64044363788,0.0889655473478
0.5832,19,0.0,control,0.0,0.0584638549196,0.0,2.51216961355,3.0,2.78826416504,0.0942497969932
0.6244,20,0.0004,control,0.0,0.0588737300035,0.0,2.50445132962,3.0,2.73602555092,0.0931947345092
